,index,Date,spx,dax,ftse,nikkei,spx_norm,dax_norm,ftse_norm,nikkei_norm,spx_ret,ftse_ret,dax_ret,nikkei_ret,spx_ret_norm,ftse_ret_norm,dax_ret_norm,nikkei_ret_norm,spx_vol,dax_vol,ftse_vol,nikkei_vol
659,659,1996-07-17,634.0700073242188,2497.68994140625,3658.199951171875,21412.880859375,135.74028385685955,112.47664280923952,107.49926391924404,118.14648709550359,0.9071108186774923,0.7130441316957281,0.8768229593435484,0.030510806929640033,152.42078678126074,56.429980933966405,450.71029055108716,-1474608659.5097818,0.8228500373617503,0.7688185020319779,0.5084319337457148,0.0009309093394977702
660,660,1996-07-18,643.5599975585938,2505.56005859375,3693.39990234375,21566.419921875,137.77187966384147,112.83105203557726,108.53364391254041,118.99364544777966,1.4966786198298276,0.9622205358293501,0.3150958434444018,0.7170406612185376,251.4851858185804,76.14968566109927,161.96763284641872,-34655077156.491,2.2400468910557176,0.09928539055593896,0.9258683595717215,0.5141473098407177
661,661,1996-07-19,638.72998046875,2498.35009765625,3710.5,21476.2890625,136.73788044729497,112.50637114240796,109.03614457831326,118.49634457154596,-0.750515431065768,0.46299068902337925,-0.2877584559496271,-0.4179222128730786,-126.10824404156102,36.640867784803596,-147.91548956095767,20198473135.282722,0.5632734122678356,0.08280492897051349,0.2143603781223435,0.17465897601273084
662,662,1996-07-22,633.77001953125,2468.320068359375,3681.300048828125,21005.630859375,135.6760631435301,111.15405081522039,108.1780796011791,115.89946778102504,-0.7765348565382801,-0.7869546199130828,-1.201994441253318,-2.19152481024677,-130.48025815544702,-62.27922259451657,-617.8570691895063,105917928364.62177,0.6030063834189273,1.4447906368038759,0.6192975738025446,4.802780993927141
663,663,1996-07-23,626.8699951171875,2488.820068359375,3708.39990234375,21163.689453125,134.1989214056065,112.0772123091131,108.97443145294592,116.77156284051078,-1.088726856970279,0.736149000520947,0.8305243822623876,0.7524582089828424,-182.93752065622516,58.2584895063436,426.9115921867393,-36366832035.746864,1.1853261690883825,0.6897707495323204,0.5419153509679893,0.566193356265667
664,664,1996-07-24,626.6500244140625,2459.1298828125,3668.800048828125,20631.029296875,134.1518305712547,110.74019591675189,107.81075665084117,113.83258761854167,-0.035090322529141016,-1.06784204935928,-1.1929422268941559,-2.5168586858627773,-5.896186505743174,-84.50852311557253,-613.2039905714429,121641542339.22281,0.0012313307351991415,1.4231111567071877,1.1402866423798268,6.3345776446029065
665,665,1996-07-25,631.1699829101562,2464.510009765625,3684.699951171875,20883.83984375,135.11945314004663,110.98247523555087,108.27798857396047,115.22748063691373,0.7212891279019917,0.4333815452501666,0.21878173213738528,1.225389888391537,121.197381960316,34.29761391828634,112.45962141859896,-59223951200.79521,0.5202580060296158,0.0478654463170346,0.18781956376342218,1.5015803785722237
666,666,1996-07-26,635.9000244140625,2469.510009765625,3673.300048828125,21124.900390625,136.13204980757305,111.2076365755247,107.94299291296284,116.55754252712094,0.7494085004006834,-0.30938482087596864,0.20288008489264264,1.1542922598458016,125.92224775597987,-24.484570824207395,104.28575236835806,-55787753037.76654,0.5616131004728011,0.04116032884604588,0.0957189673884552,1.3323906211399277
667,667,1996-07-29,630.9099731445312,2472.25,3678.800048828125,20967.5390625,135.06379083307135,111.33102455006212,108.10461501111152,115.6892946605798,-0.7847226101507454,0.14972912440829322,0.11095278915815854,-0.7449092076894925,-131.85603697087615,11.849493264219078,57.03268066379824,36001983518.18733,0.6157895748817988,0.012310521421974783,0.02241881069607415,0.5548897277005875
668,668,1996-07-30,635.260009765625,2466.840087890625,3668.5,20880.330078125,135.99503690829073,111.08740393812462,107.80193946517778,115.2081153547807,0.689486108360704,-0.2799839265905768,-0.21882544683486937,-0.41592379589729944,115.85355719194852,-22.157797725296046,-112.48209193421953,20101888243.752617,0.47539109362238846,0.047884576182480244,0.0783909991490775,0.1729926039936184
669,669,1996-07-31,639.9500122070312,2491.5,3703.199951171875,20692.830078125,136.99906210319372,112.19789570896137,108.82162654046061,114.17357607555485,0.7382807620987419,0.9458893600075013,0.9996558848879955,-0.8979743102645266,124.05246669708929,74.8572440024539,513.8496768678251,43399727086.438515,0.5450584836850992,0.9993118881912013,0.8947066813754004,0.8063578618950522
670,670,1996-08-01,650.02001953125,2504.159912109375,3734.39990234375,20984.830078125,139.1548266667921,112.76800026386094,109.73846318964884,115.78469857973592,1.5735615488918775,0.8425132745533137,0.5081241063365383,1.4111167921331491,264.4037358969164,66.67610868150972,261.1892870305435,-68200262485.93735,2.4760959481510048,0.2581901074403056,0.7098286177985473,1.9912506010401492
671,671,1996-08-02,662.489990234375,2520.260009765625,3770.60009765625,20940.41015625,141.82437000329531,113.4930241762591,110.8022361932486,115.53960975861682,1.9183979459767242,0.9693711508984348,0.6429340865331534,-0.211676347674139,322.3461987936955,76.71558201179916,330.4851975631465,10230466077.593554,3.6802506791277145,0.41336423962622043,0.9396804281941561,0.04480687616466297
672,672,1996-08-05,660.22998046875,2520.52001953125,3788.300048828125,21077.470703125,141.34055218576472,113.50473300570599,111.32236405607185,116.2958471952801,-0.34113870382033173,0.46942000513066073,0.010316783372243954,0.6545265630057084,-57.32114375357368,37.149680871154274,5.303100679227111,-31633727023.77687,0.11637561524421602,0.00010643601914980932,0.22035514121686955,0.4284050216800656
